Species,Longitude,Latitude
Oct_ins,-87.772336,16.758723
Oct_ins,-86.855457,20.869818
Oct_ins,-86.75994063,21.22815466
Oct_ins,-75.57,10.39
Oct_ins,-75.1276,19.941445
Oct_ins,-64.976667,18.340278
Oct_ins,-64.695098,18.325355
Oct_ins,-61.52319173,16.17012093
Oct_ins,-40.05673124,-2.287790431
Oct_ins,-39.45317,-2.836146
Oct_ins,-37.25233137,-4.517783385
Oct_ins,-36.88333333,-4.95
Oct_ins,-35.234054,-9.208275
Oct_ins,-35.07757435,-5.987869191
Oct_ins,-40.09989972,-2.465046841
Oct_ins,-35.35583074,-5.13232094
Oct_ins,-40.17547168,-2.587482816
Oct_ins,-39.548392,-2.607472
Oct_ins,-38.2367213,-3.582772378
Oct_ins,-34.81623,-7.892179
Oct_ins,-38.361564,-12.958861
Oct_ins,-61.2904,15.558939
Oct_ins,-62.711959,17.270613
Oct_ins,-35.1712089,-5.716611198
Oct_ins,-35.322529,-9.336853
Oct_ins,-39.7,-2.68
Oct_ins,-34.81966482,-8.100552248
Oct_ins,-35.382778,-5.272778
Oct_ins,-34.7394801,-6.931509295
Oct_ins,-61.358381,12.631276
Oct_ins,-35.091778,-8.763831
Oct_ins,-65.358893,18.118275
Oct_ins,-67.109575,17.954168
Oct_ins,-67.319958,17.919352
Oct_ins,-65.625222,18.383062
Oct_ins,-46.54166667,-0.708333333
Oct_ins,-38.539494,-12.999933
Oct_ins,-39.668908,-2.535391
Oct_ins,-38.486046,-3.720827
Oct_ins,-34.79226219,-7.300784955
Oct_ins,-35.25016903,-4.808485084
Oct_ins,-95.95759748,19.10290022
Oct_ins,-35.23224225,-5.395293072
Oct_ins,-35.224593,-5.247583
Oct_ins,-35.17097182,-4.927519028
Oct_ins,-37.98199082,-4.008786525
Oct_ins,-61.675471,16.384956
Oct_ins,-79.869342,9.404856
Oct_ins,-78.805345,9.554701
Oct_ins,-39.90990093,-2.415818822
Oct_ins,-96.08892315,19.15774228
Oct_ins,-34.97017096,-8.660185477
Oct_ins,-64.516826,18.380358
Oct_ins,-68.306328,12.177728
